Points;x;y;z
01_02_P734;1004.548;1981.916;101.136
01_02_P733;1004.616;1981.191;101.086
01_02_P732;1004.696;1980.33;101.015
01_02_P731;1004.774;1979.495;100.937
01_02_P730;1004.852;1979.071;100.906
01_02_P729;1004.796;1979.687;100.97
01_02_P728;1004.726;1980.451;101.039
01_02_P727;1004.651;1981.253;101.1
01_02_P726;1004.579;1982.025;101.278
01_02_P725;1004.675;1981.428;101.249
01_02_P724;1004.729;1980.85;101.244
01_02_P723;1004.796;1980.118;101.229
01_02_P722;1004.876;1979.215;101.197
01_02_P721;1004.938;1978.539;101.167
01_02_P720;1003.967;1978.46;101.189
01_02_P719;1003.921;1979.143;101.222
01_02_P718;1003.873;1979.864;101.249
01_02_P717;1003.814;1980.729;101.266
01_02_P716;1003.771;1981.338;101.269
01_02_P715;1003.754;1981.872;101.291
01_02_P714;1003.794;1981.3;101.289
01_02_P713;1003.839;1980.628;101.28
01_02_P712;1003.895;1979.789;101.256
01_02_P711;1003.95;1978.968;101.224
01_02_P710;1004.024;1979.432;101.263
01_02_P709;1003.973;1980.112;101.288
01_02_P708;1003.915;1980.866;101.307
01_02_P707;1003.839;1981.857;101.315
01_02_P706;1003.802;1982.316;101.313
01_02_P705;1003.782;1982.934;101.334
01_02_P704;1003.827;1982.356;101.338
01_02_P703;1003.879;1981.68;101.337
01_02_P702;1003.956;1980.664;101.319
01_02_P701;1004.004;1980.036;101.303
01_02_P700;1003.03;1980.056;101.324
01_02_P699;1003.029;1980.923;101.346
01_02_P698;1003.028;1981.651;101.356
01_02_P697;1003.025;1982.514;101.355
01_02_P696;1003.023;1982.962;101.349
01_02_P695;1002.965;1982.375;101.328
01_02_P694;1002.968;1981.967;101.329
01_02_P693;1002.97;1981.289;101.326
01_02_P692;1002.973;1980.32;101.307
01_02_P691;1002.977;1979.441;101.281
01_02_P690;1002.94;1979.029;101.25
01_02_P689;1002.939;1979.567;101.273
01_02_P688;1002.937;1980.404;101.299
01_02_P687;1002.934;1981.331;101.311
01_02_P686;1002.93;1981.993;101.31
01_02_P685;1002.858;1981.366;101.283
01_02_P684;1002.86;1980.916;101.281
01_02_P683;1002.862;1980.335;101.272
01_02_P682;1002.864;1979.501;101.25
01_02_P681;1002.865;1978.768;101.223
01_02_P680;1001.554;1981.597;101.306
01_02_P679;1001.463;1980.968;101.303
01_02_P678;1001.37;1980.339;101.293
01_02_P677;1001.23;1979.393;101.263
01_02_P676;1001.131;1978.718;101.236
01_02_P675;1001.241;1979.122;101.257
01_02_P674;1001.341;1979.794;101.286
01_02_P673;1001.443;1980.481;101.306
01_02_P672;1001.553;1981.227;101.318
01_02_P671;1001.666;1982.008;101.319
01_02_P670;1001.833;1982.602;101.348
01_02_P669;1001.717;1981.803;101.351
01_02_P668;1001.627;1981.196;101.347
01_02_P667;1001.494;1980.293;101.328
01_02_P666;1001.402;1979.667;101.309
01_02_P665;1001.549;1980.183;101.346
01_02_P664;1001.617;1980.638;101.359
01_02_P663;1001.711;1981.276;101.372
01_02_P662;1001.852;1982.232;101.376
01_02_P661;1001.979;1983.111;101.366
01_02_P660;1001.759;1983.205;101.368
01_02_P659;1001.677;1982.412;101.375
01_02_P658;1001.619;1981.873;101.375
01_02_P657;1001.527;1981.012;101.363
01_02_P656;1001.45;1980.291;101.346
01_02_P655;1001.27;1979.788;101.314
01_02_P654;1001.363;1980.655;101.342
01_02_P653;1001.414;1981.126;101.352
01_02_P652;1001.491;1981.856;101.357
01_02_P651;1001.568;1982.598;101.353
01_02_P650;1001.393;1982.096;101.326
01_02_P649;1001.324;1981.416;101.324
01_02_P648;1001.258;1980.773;101.314
01_02_P647;1001.189;1980.09;101.293
01_02_P646;1001.105;1979.286;101.263
01_02_P645;1000.914;1978.794;101.234
01_02_P644;1000.993;1979.549;101.27
01_02_P643;1001.045;1980.035;101.287
01_02_P642;1001.133;1980.857;101.306
01_02_P641;1001.22;1981.696;101.311
01_02_P640;1000.591;1981.959;101.319
01_02_P639;1000.492;1981.162;101.312
01_02_P638;1000.409;1980.515;101.298
01_02_P637;1000.318;1979.814;101.272
01_02_P636;1000.221;1979.066;101.239
01_02_P635;1000.429;1979.495;101.267
01_02_P634;1000.525;1980.225;101.3
01_02_P633;1000.601;1980.816;101.319
01_02_P632;1000.718;1981.73;101.333
01_02_P631;1000.79;1982.299;101.334
01_02_P630;1001.034;1982.812;101.36
01_02_P629;1000.955;1982.19;101.363
01_02_P628;1000.863;1981.48;101.358
01_02_P627;1000.76;1980.69;101.342
01_02_P626;1000.673;1980.021;101.322
01_02_P625;1000.934;1980.561;101.359
01_02_P624;1001.033;1981.309;101.378
01_02_P623;1001.096;1981.796;101.386
01_02_P622;1001.214;1982.705;101.387
01_02_P621;1001.297;1983.359;101.378
01_02_P620;1000.689;1983.63;101.384
01_02_P619;1000.535;1982.936;101.392
01_02_P618;1000.419;1982.418;101.392
01_02_P617;1000.266;1981.737;101.385
01_02_P616;1000.079;1980.898;101.368
01_02_P615;999.766;1980.394;101.337
01_02_P614;999.877;1980.888;101.354
01_02_P613;1000.036;1981.603;101.37
01_02_P612;1000.249;1982.59;101.368
01_02_P611;1000.38;1983.182;101.361
01_02_P610;1000.089;1982.699;101.34
01_02_P609;999.926;1981.933;101.337
01_02_P608;999.773;1981.23;101.324
01_02_P607;999.645;1980.658;101.307
01_02_P606;999.48;1979.914;101.279
01_02_P605;999.211;1979.502;101.261
01_02_P604;999.198;1980.017;101.332
01_02_P603;999.305;1980.491;101.354
01_02_P602;999.499;1981.356;101.375
01_02_P601;999.69;1982.219;101.381
01_02_P600;1000.481;1984.24;102.889
01_02_P599;1000.186;1983.447;102.906
01_02_P598;999.894;1982.666;102.912
01_02_P597;999.503;1981.615;102.907
01_02_P596;1000.503;1981.337;102.882
01_02_P595;1000.211;1980.892;103.071
01_02_P594;1000.282;1981.372;103.083
01_02_P593;1000.391;1982.118;103.093
01_02_P592;1000.529;1983.069;103.092
01_02_P591;1000.619;1983.711;103.082
01_02_P590;1000.341;1983.299;103.256
01_02_P589;1000.255;1982.697;103.257
01_02_P588;1000.158;1982.044;103.252
01_02_P587;1000.023;1981.157;103.233
